Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2017:03,"0,05","0,05","-0,04","-0,05","0,01","-0,06","-0,08"
2017:04,"0,36","0,11","-0,05","-0,09","0,33","0,08","0,06"
2017:05,"0,00","0,00","-0,07","0,07","0,00","0,11","0,09"
2017:06,"0,00","0,12","0,01","0,03","0,16","0,16","0,18"
2017:07,"-0,13","0,02","-0,04","-0,01","-0,17","0,00","-0,01"
2017:08,"-0,14","0,07","-0,08","0,14","-0,01","-0,01","-0,02"
2017:09,"0,01","0,08","0,02","0,08","0,19","0,00","-0,03"
2017:10,"0,41","0,05","-0,03","0,11","0,54","0,24","0,18"
2017:11,"0,05","0,05","0,01","0,12","0,23","0,32","0,32"
2017:12,"0,03","0,04","0,01","0,14","0,21","0,33","0,31"
2018:01,"-0,04","0,10","-0,09","-0,20","-0,23","0,07","0,08"
2018:02,"0,16","0,21","-0,03","0,12","0,46","0,15","0,14"
2018:03,"0,04","0,08","-0,02","-0,01","0,09","0,11","0,10"
2018:04,"0,36","0,08","-0,06","0,02","0,40","0,32","0,27"
2018:05,"-0,42","0,13","0,03","0,09","-0,17","0,11","0,13"
2018:06,"0,28","0,06","-0,07","-0,04","0,23","0,15","0,17"
2018:07,"0,00","0,06","-0,02","-0,01","0,03","0,03","0,05"
2018:08,"0,16","0,04","-0,04","0,13","0,30","0,19","0,15"
2018:09,"-0,02","0,08","-0,07","0,02","0,00","0,11","0,06"
2018:10,"-0,12","0,03","-0,02","-0,13","-0,24","0,02","-0,05"
2018:11,"-0,06","0,06","0,01","0,00","0,01","-0,08","-0,20"
2018:12,"0,05","-0,01","-0,20","0,02","-0,13","-0,12","-0,18"
2019:01,"-0,33","0,04","-0,03","-0,05","-0,36","-0,16","-0,16"
2019:02,"-0,20","-0,08","-0,08","-0,04","-0,40","-0,30","-0,29"
2019:03,"-0,07","0,05","0,01","-0,10","-0,10","-0,29","-0,31"
2019:04,"-0,31","0,05","-0,06","-0,18","-0,51","-0,34","-0,34"
2019:05,"-0,01","0,00","0,01","0,03","0,03","-0,19","-0,19"
2019:06,"0,06","0,05","-0,02","-0,02","0,06","-0,14","-0,14"
2019:07,"-0,28","-0,03","0,00","-0,06","-0,38","-0,10","-0,12"
